Estado,Año,Mes,Tasa de desempleo
Arkansas,2015,Enero,5.5
Arkansas,2016,Diciembre,3.8
Arkansas,2016,Noviembre,3.9
Arkansas,2016,Octubre,3.9
Arkansas,2016,Septiembre,3.9
Arkansas,2016,Agosto,4.0
Arkansas,2016,Julio,4.0
Arkansas,2016,Junio,4.0
Arkansas,2016,Mayo,4.0
Arkansas,2016,Abril,4.0
Arkansas,2016,Marzo,4.0
Arkansas,2016,Febrero,4.1
Arkansas,2016,Enero,4.2
Arkansas,2017,Diciembre,3.8
Arkansas,2017,Noviembre,3.8
Arkansas,2017,Octubre,3.8
Arkansas,2017,Septiembre,3.8
Arkansas,2017,Agosto,3.7
Arkansas,2017,Julio,3.7
Arkansas,2017,Junio,3.7
Arkansas,2017,Mayo,3.7
Arkansas,2017,Abril,3.7
Arkansas,2017,Marzo,3.7
Arkansas,2017,Febrero,3.7
Arkansas,2017,Enero,3.8
Arkansas,2018,Diciembre,3.7
Arkansas,2018,Noviembre,3.7
Arkansas,2018,Octubre,3.6
Arkansas,2018,Septiembre,3.6
Arkansas,2018,Agosto,3.5
Arkansas,2018,Julio,3.5
Arkansas,2018,Junio,3.6
Arkansas,2018,Mayo,3.6
Arkansas,2018,Abril,3.6
Arkansas,2018,Marzo,3.7
Arkansas,2018,Febrero,3.7
Arkansas,2018,Enero,3.8
Arkansas,2019,Diciembre,3.5
Arkansas,2019,Noviembre,3.5
Arkansas,2019,Octubre,3.5
Arkansas,2019,Septiembre,3.5
Arkansas,2019,Agosto,3.5
Arkansas,2019,Julio,3.4
Arkansas,2019,Junio,3.4
Arkansas,2019,Mayo,3.4
Arkansas,2019,Abril,3.4
Arkansas,2019,Marzo,3.4
Arkansas,2019,Febrero,3.5
Arkansas,2019,Enero,3.6
Arizona,2010,Diciembre,10.0
Arizona,2010,Noviembre,10.0
Arizona,2010,Octubre,10.1
Arizona,2010,Septiembre,10.1
Arizona,2010,Agosto,10.2
Arizona,2010,Julio,10.2
Arizona,2010,Junio,10.3
Arizona,2010,Mayo,10.4
Arizona,2010,Abril,10.5
Arizona,2010,Marzo,10.6
Arizona,2010,Febrero,10.6
Arizona,2010,Enero,10.6
Arizona,2011,Diciembre,8.8
Arizona,2011,Noviembre,9.0
Arizona,2011,Octubre,9.1
Arizona,2011,Septiembre,9.3
Arizona,2011,Agosto,9.4
Arizona,2011,Julio,9.5
Arizona,2011,Junio,9.6
Arizona,2011,Mayo,9.6
Arizona,2011,Abril,9.6
Arizona,2011,Marzo,9.7
Arizona,2011,Febrero,9.8
Arizona,2011,Enero,9.8
Arizona,2012,Diciembre,8.1
Arizona,2012,Noviembre,8.1
Arizona,2012,Octubre,8.1
Arizona,2012,Septiembre,8.1
Arizona,2012,Agosto,8.2
Arizona,2012,Julio,8.3
Arizona,2012,Junio,8.4
Arizona,2012,Mayo,8.5
Arizona,2012,Abril,8.5
Arizona,2012,Marzo,8.6
Arizona,2012,Febrero,8.6
Arizona,2012,Enero,8.7
Arizona,2013,Diciembre,7.4
Arizona,2013,Noviembre,7.5
Arizona,2013,Octubre,7.6
Arizona,2013,Septiembre,7.7
Arizona,2013,Agosto,7.8
Arizona,2013,Julio,7.8
Arizona,2013,Junio,7.9
Arizona,2013,Mayo,7.9
Arizona,2013,Abril,8.0
Arizona,2013,Marzo,8.0
Arizona,2013,Febrero,8.1
Arizona,2013,Enero,8.1
Arizona,2014,Diciembre,6.4
Arizona,2014,Noviembre,6.5
Arizona,2014,Octubre,6.6
Arizona,2014,Septiembre,6.7
Arizona,2014,Agosto,6.7
Arizona,2014,Julio,6.7
Arizona,2014,Junio,6.8
Arizona,2014,Mayo,6.9
Arizona,2014,Abril,6.9
Arizona,2014,Marzo,7.0
Arizona,2014,Febrero,7.1
Arizona,2014,Enero,7.2
Arizona,2015,Diciembre,5.8
Arizona,2015,Noviembre,5.8
Arizona,2015,Octubre,5.9
Arizona,2015,Septiembre,6.0
Arizona,2015,Agosto,6.0
Arizona,2015,Julio,6.1
Arizona,2015,Junio,6.1
Arizona,2015,Mayo,6.1
Arizona,2015,Abril,6.2
Arizona,2015,Marzo,6.2
Arizona,2015,Febrero,6.3
Arizona,2015,Enero,6.4
Arizona,2016,Diciembre,5.3
Arizona,2016,Noviembre,5.3
Arizona,2016,Octubre,5.4
Arizona,2016,Septiembre,5.4
Arizona,2016,Agosto,5.4
Arizona,2016,Julio,5.5
Arizona,2016,Junio,5.5
Arizona,2016,Mayo,5.5
Arizona,2016,Abril,5.6
Arizona,2016,Marzo,5.6
Arizona,2016,Febrero,5.6
Arizona,2016,Enero,5.7
Arizona,2017,Diciembre,4.9
Arizona,2017,Noviembre,4.9
Arizona,2017,Octubre,4.9
Arizona,2017,Septiembre,4.9
Arizona,2017,Agosto,4.8
Arizona,2017,Julio,4.9
Arizona,2017,Junio,4.9
Arizona,2017,Mayo,5.0
Arizona,2017,Abril,5.0
Arizona,2017,Marzo,5.1
Arizona,2017,Febrero,5.2
Arizona,2017,Enero,5.2
Arizona,2018,Diciembre,5.0
Arizona,2018,Noviembre,5.0
Arizona,2018,Octubre,4.9
Arizona,2018,Septiembre,4.9
Arizona,2018,Agosto,4.8
Arizona,2018,Julio,4.7
Arizona,2018,Junio,4.7
Arizona,2018,Mayo,4.7
Arizona,2018,Abril,4.7
Arizona,2018,Marzo,4.7
Arizona,2018,Febrero,4.8
Arizona,2018,Enero,4.8
Arizona,2019,Diciembre,4.9
Arizona,2019,Noviembre,4.9
Arizona,2019,Octubre,4.8
Arizona,2019,Septiembre,4.8
Arizona,2019,Agosto,4.9
Arizona,2019,Julio,4.8
Arizona,2019,Junio,4.8
Arizona,2019,Mayo,4.8
Arizona,2019,Abril,4.8
Arizona,2019,Marzo,4.9
Arizona,2019,Febrero,4.9
Arizona,2019,Enero,5.0
California,2010,Diciembre,12.4
California,2010,Noviembre,12.4
California,2010,Octubre,12.4
California,2010,Septiembre,12.4
California,2010,Agosto,12.4
California,2010,Julio,12.3
California,2010,Junio,12.4
California,2010,Mayo,12.5
California,2010,Abril,12.5
California,2010,Marzo,12.6
California,2010,Febrero,12.6
California,2010,Enero,12.6
California,2011,Diciembre,11.3
California,2011,Noviembre,11.5
California,2011,Octubre,11.6
California,2011,Septiembre,11.8
California,2011,Agosto,11.9
California,2011,Julio,12.0
California,2011,Junio,12.0
California,2011,Mayo,12.0
California,2011,Abril,12.0
California,2011,Marzo,12.1
California,2011,Febrero,12.2
California,2011,Enero,12.3
California,2012,Diciembre,9.8
California,2012,Noviembre,9.9
California,2012,Octubre,10.0
California,2012,Septiembre,10.2
California,2012,Agosto,10.3
California,2012,Julio,10.5
California,2012,Junio,10.7
California,2012,Mayo,10.8
California,2012,Abril,10.9
California,2012,Marzo,11.0
California,2012,Febrero,11.0
California,2012,Enero,11.2
California,2013,Diciembre,8.4
California,2013,Noviembre,8.5
California,2013,Octubre,8.6
California,2013,Septiembre,8.8
California,2013,Agosto,8.9
California,2013,Julio,9.0
California,2013,Junio,9.1
California,2013,Mayo,9.2
California,2013,Abril,9.3
California,2013,Marzo,9.4
California,2013,Febrero,9.5
California,2013,Enero,9.7
California,2014,Diciembre,6.9
California,2014,Noviembre,7.1
California,2014,Octubre,7.2
California,2014,Septiembre,7.3
California,2014,Agosto,7.4
California,2014,Julio,7.5
California,2014,Junio,7.6
California,2014,Mayo,7.7
California,2014,Abril,7.8
California,2014,Marzo,8.0
California,2014,Febrero,8.1
California,2014,Enero,8.2
California,2015,Diciembre,5.7
California,2015,Noviembre,5.8
California,2015,Octubre,5.8
California,2015,Septiembre,5.9
California,2015,Agosto,6.0
California,2015,Julio,6.2
California,2015,Junio,6.3
California,2015,Mayo,6.4
California,2015,Abril,6.5
California,2015,Marzo,6.6
California,2015,Febrero,6.7
California,2015,Enero,6.8
California,2016,Diciembre,5.4
California,2016,Noviembre,5.4
California,2016,Octubre,5.5
California,2016,Septiembre,5.5
California,2016,Agosto,5.5
California,2016,Julio,5.5
California,2016,Junio,5.5
California,2016,Mayo,5.5
California,2016,Abril,5.5
California,2016,Marzo,5.6
California,2016,Febrero,5.6
California,2016,Enero,5.7
California,2017,Diciembre,4.5
California,2017,Noviembre,4.5
California,2017,Octubre,4.6
California,2017,Septiembre,4.7
California,2017,Agosto,4.8
California,2017,Julio,4.8
California,2017,Junio,4.9
California,2017,Mayo,4.9
California,2017,Abril,5.0
California,2017,Marzo,5.0
California,2017,Febrero,5.1
California,2017,Enero,5.2
California,2018,Diciembre,4.3
California,2018,Noviembre,4.3
California,2018,Octubre,4.3
California,2018,Septiembre,4.2
California,2018,Agosto,4.2
California,2018,Julio,4.2
California,2018,Junio,4.2
California,2018,Mayo,4.2
California,2018,Abril,4.2
California,2018,Marzo,4.3
California,2018,Febrero,4.3
California,2018,Enero,4.4
California,2019,Diciembre,4.1
California,2019,Noviembre,4.1
California,2019,Octubre,4.1
California,2019,Septiembre,4.1
California,2019,Agosto,4.1
California,2019,Julio,4.0
California,2019,Junio,4.0
California,2019,Mayo,4.1
California,2019,Abril,4.1
California,2019,Marzo,4.2
California,2019,Febrero,4.2
California,2019,Enero,4.3
Colorado,2010,Diciembre,9.3
Colorado,2010,Noviembre,9.4
Colorado,2010,Octubre,9.4
Colorado,2010,Septiembre,9.3
Colorado,2010,Agosto,9.2
Colorado,2010,Julio,9.1
Colorado,2010,Junio,9.0
Colorado,2010,Mayo,9.0
Colorado,2010,Abril,9.1
Colorado,2010,Marzo,9.1
Colorado,2010,Febrero,9.0
Colorado,2010,Enero,8.8
Colorado,2011,Diciembre,8.4
Colorado,2011,Noviembre,8.5
Colorado,2011,Octubre,8.6
Colorado,2011,Septiembre,8.6
Colorado,2011,Agosto,8.6
Colorado,2011,Julio,8.7
Colorado,2011,Junio,8.7
Colorado,2011,Mayo,8.7
Colorado,2011,Abril,8.7
Colorado,2011,Marzo,8.8
Colorado,2011,Febrero,8.9
Colorado,2011,Enero,9.1
Colorado,2012,Diciembre,7.4
Colorado,2012,Noviembre,7.5
Colorado,2012,Octubre,7.6
Colorado,2012,Septiembre,7.8
Colorado,2012,Agosto,7.9
Colorado,2012,Julio,8.1
Colorado,2012,Junio,8.2
Colorado,2012,Mayo,8.2
Colorado,2012,Abril,8.3
Colorado,2012,Marzo,8.3
Colorado,2012,Febrero,8.3
Colorado,2012,Enero,8.4
Colorado,2013,Diciembre,6.1
Colorado,2013,Noviembre,6.2
Colorado,2013,Octubre,6.4
Colorado,2013,Septiembre,6.5
Colorado,2013,Agosto,6.7
Colorado,2013,Julio,6.8
Colorado,2013,Junio,6.8
Colorado,2013,Mayo,6.9
Colorado,2013,Abril,7.0
Colorado,2013,Marzo,7.1
Colorado,2013,Febrero,7.2
Colorado,2013,Enero,7.3
Colorado,2014,Diciembre,4.2
Colorado,2014,Noviembre,4.3
Colorado,2014,Octubre,4.4
Colorado,2014,Septiembre,4.5
Colorado,2014,Agosto,4.6
Colorado,2014,Julio,4.8
Colorado,2014,Junio,5.0
Colorado,2014,Mayo,5.2
Colorado,2014,Abril,5.4
Colorado,2014,Marzo,5.6
Colorado,2014,Febrero,5.8
Colorado,2014,Enero,6.0
Colorado,2015,Diciembre,3.3
Colorado,2015,Noviembre,3.4
Colorado,2015,Octubre,3.4
Colorado,2015,Septiembre,3.5
Colorado,2015,Agosto,3.6
Colorado,2015,Julio,3.7
Colorado,2015,Junio,3.8
Colorado,2015,Mayo,3.9
Colorado,2015,Abril,4.0
Colorado,2015,Marzo,4.1
