estado,fecha,promedio_dias
Tennessee,2010-08,111.0
Missouri,2010-08,108.0
Maryland,2010-08,118.0
Wisconsin,2010-08,120.5
Minnesota,2010-08,117.0
Colorado,2010-08,101.0
Alabama,2010-08,101.0
South Carolina,2010-08,123.0
Louisiana,2010-08,84.0
Kentucky,2010-08,108.5
Oregon,2010-08,108.0
Oklahoma,2010-08,99.0
Connecticut,2010-08,118.0
Iowa,2010-08,110.0
Mississippi,2010-08,101.5
Arkansas,2010-08,103.0
Kansas,2010-08,87.0
Utah,2010-08,104.0
Nevada,2010-08,94.0
New Mexico,2010-08,116.0
West Virginia,2010-08,112.0
Nebraska,2010-08,110.0
Idaho,2010-08,115.0
Hawaii,2010-08,97.5
Maine,2010-08,93.0
New Hampshire,2010-08,115.0
Rhode Island,2010-08,118.5
Montana,2010-08,103.5
Delaware,2010-08,111.0
South Dakota,2010-08,
Alaska,2010-08,89.0
North Dakota,2010-08,93.0
Vermont,2010-08,103.0
District of Columbia,2010-08,96.0
Wyoming,2010-08,80.0
Puerto Rico,2010-08,
California,2010-09,93.0
Texas,2010-09,104.0
New York,2010-09,144.5
Florida,2010-09,116.0
Illinois,2010-09,124.0
Pennsylvania,2010-09,116.0
Ohio,2010-09,116.0
Michigan,2010-09,101.0
Georgia,2010-09,125.0
North Carolina,2010-09,133.0
New Jersey,2010-09,139.0
Virginia,2010-09,98.0
Washington,2010-09,114.0
Massachusetts,2010-09,118.0
Indiana,2010-09,116.0
Arizona,2010-09,103.0
Tennessee,2010-09,119.0
Missouri,2010-09,117.0
Maryland,2010-09,112.0
Wisconsin,2010-09,127.5
Minnesota,2010-09,121.0
Colorado,2010-09,111.0
Alabama,2010-09,110.0
South Carolina,2010-09,132.0
Louisiana,2010-09,94.0
Kentucky,2010-09,103.0
Oregon,2010-09,117.0
Oklahoma,2010-09,104.0
Connecticut,2010-09,131.0
Iowa,2010-09,106.0
Mississippi,2010-09,110.0
Arkansas,2010-09,112.0
Kansas,2010-09,99.0
Utah,2010-09,108.0
Nevada,2010-09,97.0
New Mexico,2010-09,123.0
West Virginia,2010-09,119.0
Nebraska,2010-09,105.0
Idaho,2010-09,122.0
Hawaii,2010-09,84.0
Maine,2010-09,109.0
New Hampshire,2010-09,110.0
Rhode Island,2010-09,124.0
Montana,2010-09,101.5
Delaware,2010-09,133.0
South Dakota,2010-09,
Alaska,2010-09,103.0
North Dakota,2010-09,104.0
Vermont,2010-09,117.0
District of Columbia,2010-09,102.0
Wyoming,2010-09,80.0
Puerto Rico,2010-09,
California,2010-10,96.0
Texas,2010-10,114.0
New York,2010-10,151.0
Florida,2010-10,119.0
Illinois,2010-10,132.0
Pennsylvania,2010-10,123.0
Ohio,2010-10,124.0
Michigan,2010-10,107.0
Georgia,2010-10,123.0
North Carolina,2010-10,135.0
New Jersey,2010-10,150.0
Virginia,2010-10,107.0
Washington,2010-10,116.0
Massachusetts,2010-10,127.5
Indiana,2010-10,116.0
Arizona,2010-10,102.0
Tennessee,2010-10,118.0
Missouri,2010-10,115.0
Maryland,2010-10,118.0
Wisconsin,2010-10,132.0
Minnesota,2010-10,124.0
Colorado,2010-10,114.0
Alabama,2010-10,124.0
South Carolina,2010-10,133.0
Louisiana,2010-10,101.0
Kentucky,2010-10,119.0
Oregon,2010-10,121.0
Oklahoma,2010-10,109.0
Connecticut,2010-10,133.0
Iowa,2010-10,112.0
Mississippi,2010-10,109.0
Arkansas,2010-10,118.0
Kansas,2010-10,102.0
Utah,2010-10,108.0
Nevada,2010-10,97.0
New Mexico,2010-10,120.0
West Virginia,2010-10,123.0
Nebraska,2010-10,109.0
Idaho,2010-10,115.0
Hawaii,2010-10,76.0
Maine,2010-10,133.0
New Hampshire,2010-10,103.0
Rhode Island,2010-10,138.0
Montana,2010-10,118.0
